title,viewCount,likeCount,commentCount,publishedAt
[Nizi Project] Part 2 #10-1,6697891,32979,1765,2020-07-24T10:00:16Z
NiziU MAYUKA「Make you happy」M/V MAKING FILM,1092887,41467,1917,2020-07-24T09:00:02Z
NiziU AYAKA「Make you happy」M/V MAKING FILM,1044481,33205,1211,2020-07-23T13:00:26Z
NiziU RIKU「Make you happy」M/V MAKING FILM,1210271,38924,1963,2020-07-22T09:00:10Z
NiziU MAYA「Make you happy」M/V MAKING FILM,1319011,48582,1774,2020-07-21T09:00:08Z
NiziU RIO「Make you happy」M/V MAKING FILM,1416730,51755,1504,2020-07-20T11:00:00Z
NiziU MAKO「Make you happy」M/V MAKING FILM,1853476,71500,2234,2020-07-20T09:00:13Z
NiziU 「Make you happy」 featuring guide Video,14484914,196270,10443,2020-07-19T03:00:01Z
NiziU official autograph event Day 3,1661796,46213,3646,2020-07-18T02:00:03Z
[Nizi Project] Part 2 #9-2,5703704,28926,1480,2020-07-17T10:01:12Z
[Nizi Project] Part 2 #9-1,4697530,25938,1442,2020-07-17T10:00:07Z
NiziU official autograph event Day 2,1677964,47390,3776,2020-07-17T02:00:01Z
NiziU official autograph event Day 1,2405491,75251,5954,2020-07-16T02:00:05Z
NiziU 「Make you happy」 Performance Video(Korean ver.),45165041,520003,22678,2020-07-15T11:00:11Z
[Nizi Project] Part 2 #8-2,5055056,24499,1296,2020-07-10T10:00:57Z
[Nizi Project] Part 2 #8-1,7344160,38892,1784,2020-07-10T10:00:33Z
NiziU JACKET MAKING FILM,2401948,92206,2945,2020-07-06T11:00:06Z
[Nizi Project] Part 2 #7-2,5930445,34187,1826,2020-07-03T10:00:48Z
[Nizi Project] Part 2 #7-1,2777827,18876,682,2020-07-03T10:00:33Z
NiziU 『Make you happy』 M/V Teaser 1,4506556,169748,6819,2020-06-29T02:00:41Z
[Nizi Project] Whisper Challenge,1075100,33207,1697,2020-06-27T09:00:03Z
[Nizi Project] Part 2 #6-1,3439618,19640,907,2020-06-26T10:00:13Z
[Nizi Project] Part 2 #6-2,3248001,18174,875,2020-06-26T10:00:26Z
[Nizi Project] Part 2 #10 Highlights,2037801,16540,1678,2020-06-23T05:00:04Z
[Nizi Project] Mission1 My Best Friend,1636455,26052,1419,2020-06-20T03:00:02Z
[Nizi Project] Part 2 #5-1,4365985,19584,1417,2020-06-19T10:00:06Z
[Nizi Project] Part 2 #5-2,4195360,23874,1297,2020-06-19T10:00:24Z
Stray kids cheers for Nizi Project,365413,15214,291,2020-06-18T02:00:40Z
WOOYOUNG cheers for Nizi Project,205670,4857,184,2020-06-18T02:00:05Z
TWICE cheers for Nizi Project,920279,35722,797,2020-06-18T02:00:31Z
[Nizi Project] Part 2 #9 Highlights,1203237,11730,1068,2020-06-16T05:00:03Z
[Nizi Project] Who’s your mama? (feat. Jessi)/J.Y. Park,3114477,61528,4282,2020-06-13T09:00:08Z
[Nizi Project] Part 2 #4-2,5806531,33487,1798,2020-06-12T10:01:30Z
[Nizi Project] Part 2 #4-1,3504291,16170,619,2020-06-12T10:00:31Z
[Nizi Project] Part 2 #8 Highlights,437439,3413,299,2020-06-09T05:00:05Z
[Nizi Project] Part 2 #3-1,3693297,17487,654,2020-06-05T10:00:27Z
[Nizi Project] Part 2 #3-2,4680285,25038,1340,2020-06-05T10:00:22Z
[Nizi Project] JYP‘s Basic Dance Moves,1146386,24431,925,2020-06-04T09:00:21Z
[Nizi Project] Part 2 #7 Highlights,1494393,12929,953,2020-06-02T05:00:02Z
[Nizi Project] Part 2 #2-2,3870190,21806,1046,2020-05-29T10:00:31Z
[Nizi Project] Part 2 #2-1,4761150,25398,1181,2020-05-29T10:00:10Z
[Nizi Project] Part 2 #6 Highlights,603460,5700,305,2020-05-26T05:00:07Z
[Nizi Project] Part 2 #1-2,6969233,45874,1779,2020-05-22T10:00:48Z
[Nizi Project] Part 2 #1-1,4198560,24652,1189,2020-05-22T10:00:01Z
[Nizi Project] Part 2 #5 Highlights,885257,5589,477,2020-05-19T05:00:02Z
[Nizi Project] Part 2 Teaser2,229361,3762,190,2020-05-18T05:00:06Z
[Nizi Project] Part 2 #4 Highlights,1135109,8785,584,2020-05-12T05:00:17Z
[Nizi Project] Part 2 #3 Highlights,301777,3085,135,2020-05-05T05:00:00Z
[Nizi Project] Part 2 #2 Highlights,342796,3913,204,2020-04-28T05:00:13Z
[Nizi Project] Part 2 #1 Highlights,464280,7183,426,2020-04-21T05:00:27Z
[Nizi Project] Part 2 Teaser,859341,19855,2218,2020-04-10T02:00:10Z
