title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
NiziU(니쥬) 1st Album 「Chopstick」 MV,13740502,362381,10127,31832,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13760969,362498,10130,31873,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13787516,362619,10135,31870,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13794196,362678,10138,31889,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13812743,362789,10143,31906,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13824822,362874,10145,31920,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13835537,362939,10147,31933,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13872084,363176,10154,31977,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13878983,363252,10157,31989,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13908861,363417,10170,32007,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13928608,363522,10174,32021,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13961542,363692,10185,32049,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,13977814,363799,10185,32063,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14829989,368958,10332,33006,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14831553,368972,10333,33009,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14833295,368991,10334,33016,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14837384,369032,10335,33012,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14846089,369081,10341,33020,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14851748,369112,10342,33027,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14855443,369140,10342,33028,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14858677,369166,10343,33037,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14861816,369187,10346,33037,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14865186,369199,10344,33040,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14908046,369339,10349,33068,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14961629,369523,10356,33100,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,14990536,369632,10359,33120,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,15015208,369706,10360,33161,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,15024439,369743,10360,33171,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,15028922,369765,10360,33176,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,15039130,369799,10361,33190,2021-11-10T15:00:13Z
